Name 1,Name 2,Lon,Lat,Model,Sowing Day,Sowing Month,Start Year,End Year,Flowering Mean,Flowering SD,Maturity Mean,Maturity SD
Singida.1,Ikungi,35.225,-5.125,Beta_4,1,1,1980,2009,52.7,2.01,48.7,2.57
Singida.2,Singida Rural,35.225,-4.625,Beta_4,1,1,1980,2009,55,2.77,52.4,2.99
Singida.3,Mkalama,34.975,-4.375,Beta_4,1,1,1980,2009,57.1,3.16,55.2,3.36
Singida.4,Iramba,34.475,-4.875,Beta_4,1,1,1980,2009,51.8,1.41,47.6,2.22
Singida.5,Singida Urban,34.725,-4.875,Beta_4,1,1,1980,2009,54.5,2.35,52.1,2.66
Tabora,Nzega,32.975,-3.875,Beta_4,1,1,1980,2009,50.4,1,44.6,2.3
Tabora.1,Igunga,33.475,-3.875,Beta_4,1,1,1980,2009,50.5,0.97,44.8,2.15
Tabora.2,Sikonge,33.975,-6.125,Beta_4,1,1,1980,2009,56.5,2.67,57.1,3.36
Tabora.3,Uyui,32.475,-5.375,Beta_4,1,1,1980,2009,50.4,1.22,44.8,3.02
Tabora.4,Urambo,31.975,-5.125,Beta_4,1,1,1980,2009,50.9,1.36,45.8,3.02
Tabora.5,Tabora Urban,32.725,-5.125,Beta_4,1,1,1980,2009,50.5,1.31,45.2,2.99
Tabora.6,Kaliua,32.225,-4.375,Beta_4,1,1,1980,2009,50.4,1.13,44.6,2.75
Tanga,Handeni,38.225,-5.875,Beta_4,1,1,1980,2009,49.4,0.67,40.2,2.13
Tanga.1,Pangani,38.725,-5.875,Beta_4,1,1,1980,2009,49.4,0.5,35.3,1.46
Tanga.2,Kilindi,37.725,-5.625,Beta_4,1,1,1980,2009,49.9,1.14,41.7,2.58
Tanga.3,Handeni Township Authority,37.975,-5.375,Beta_4,1,1,1980,2009,50.2,1.33,42.3,2.87
Tanga.4,Muheza,38.725,-5.375,Beta_4,1,1,1980,2009,49.1,0.31,37.6,1.92
Tanga.5,Korogwe,38.225,-5.125,Beta_4,1,1,1980,2009,49.6,0.85,40.6,2.7
Tanga.6,Korogwe Township Authority,38.475,-5.125,Beta_4,1,1,1980,2009,49.4,0.73,39.7,2.48
Tanga.7,Tanga,38.975,-5.125,Beta_4,1,1,1980,2009,49.1,0.35,37.8,2.27
Tanga.8,Lushoto,38.225,-4.875,Beta_4,1,1,1980,2009,62.1,5.1,61.9,6.47
Tanga.9,Mkinga,38.725,-4.875,Beta_4,1,1,1980,2009,49.6,0.77,40.7,2.62
